Toy Story
Jumanji (1995)
Grumpier Old
Waiting to
Father of
Heat (1995)
Sabrina (1995)
Tom and
Sudden Death
GoldenEye (1995)
"American President,"
Dracula: Dead
Balto (1995)
Nixon (1995)
Cutthroat Island
Casino (1995)
Sense and
Four Rooms
Ace Ventura:
Money Train
Get Shorty
Copycat (1995)
Assassins (1995)
Powder (1995)
Leaving Las
Othello (1995)
Now and
Persuasion (1995)
City of
Shanghai Triad
Dangerous Minds
Twelve Monkeys
Wings of
Babe (1995)
Carrington (1995)
Dead Man
Across the
It Takes
Clueless (1995)
"Cry, the"
Richard III
Dead Presidents
Restoration (1995)
Mortal Kombat
To Die
How to
Seven (Se7en)
Pocahontas (1995)
When Night
"Usual Suspects,"
Guardian Angel
Mighty Aphrodite
Lamerica (1994)
"Big Green,"
Georgia (1995)
Kids of
Home for
"Postino, Il"
"Confessional, The"
Indian in
Eye for
Mr. Holland's
Don't Be
Two if
Bio-Dome (1996)
Lawnmower Man
Two Bits
French Twist
Friday (1995)
From Dusk
Fair Game
Kicking and
"Mis�rables, Les"
Bed of
Big Bully
Screamers (1995)
Nico Icon
"Crossing Guard,"
"Juror, The"
"White Balloon,"
Things to
Antonia's Line
Once Upon
Last Summer
Angels and
White Squall
Dunston Checks
Black Sheep
Nick of
Journey of
Mary Reilly
Vampire in
Beautiful Girls
Broken Arrow
In the
"Hate (Haine,"
Shopping (1994)
Heidi Fleiss:
City Hall
Bottle Rocket
Mr. Wrong
Unforgettable (1996)
Happy Gilmore
Bridges of
Nobody Loves
Muppet Treasure
Catwalk (1995)
Headless Body
Braveheart (1995)
Taxi Driver
Rumble in
Before and
Margaret's Museum
Happiness Is
Anne Frank
Young Poisoner's
If Lucy
"Steal Big,"
Race the
Boys of
Boomerang (1992)
Chungking Express
"Star Maker,"
Flirting With
NeverEnding Story
Silence of
Jupiter's Wife
Pie in
Angela (1995)
Frankie Starlight
Jade (1995)
Nueba Yol
Sonic Outlaws
Down Periscope
From the
Man of
"Neon Bible,"
Target (1995)
Up Close
"Birdcage, The"
Shadows (Cienie)
Gospa (1995)
"Brothers McMullen,"
Bad Boys
Amazing Panda
"Basketball Diaries,"
Awfully Big
Amateur (1994)
Apollo 13
Rob Roy
"Addiction, The"
Batman Forever
Belle de
Beyond Rangoon
Blue in
Canadian Bacon
Casper (1995)
Clockers (1995)
Congo (1995)
Crimson Tide
Crumb (1994)
Desperado (1995)
Devil in
Die Hard:
"Doom Generation,"
Feast of
First Knight
Free Willy
Hackers (1995)
Jeffrey (1995)
Johnny Mnemonic
Judge Dredd
Jury Duty
Kids (1995)
Living in
Lord of
Love &
Mad Love
Mallrats (1995)
Mighty Morphin
Moonlight and
Mute Witness
Nadja (1994)
"Net, The"
Nine Months
Party Girl
"Prophecy, The"
Reckless (1995)
Safe (1995)
"Scarlet Letter,"
"Show, The"
Showgirls (1995)
Smoke (1995)
Something to
Species (1995)
Stars Fell
Strange Days
Umbrellas of
Tie That
Three Wishes
Total Eclipse
To Wong
Under Siege
Unstrung Heroes
Unzipped (1995)
Walk in
Waterworld (1995)
White Man's
Wild Bill
"Browning Version,"
Bushwhacked (1995)
Burnt By
Before the
Before Sunrise
Billy Madison
"Babysitter, The"
Boys on
"Cure, The"
Castle Freak
Circle of
Clerks (1994)
Don Juan
Disclosure (1994)
Dream Man
Drop Zone
Destiny Turns
Death and
Dolores Claiborne
Dumb &
Eat Drink
Exotica (1994)
Exit to
Ed Wood
French Kiss
Forget Paris
Far From
"Goofy Movie,"
Hideaway (1995)
Fluke (1995)
Farinelli: il
Gordy (1995)
Gumby: The
"Glass Shield,"
Hoop Dreams
Heavenly Creatures
Houseguest (1994)
Immortal Beloved
Heavyweights (1994)
"Hunted, The"
I.Q. (1994)
Interview with
Jefferson in
"Jerky Boys,"
Junior (1994)
Just Cause
Kid in
Kiss of
Star Wars:
Little Women
"Little Princess,"
Ladybird Ladybird
"Enfer, L'"
Like Water
Legends of
Major Payne
Little Odessa
My Crazy
Love Affair
Losing Isaiah
Madness of
Mary Shelley's
Man of
Mixed Nuts
Milk Money
Miracle on
Miami Rhapsody
My Family
Murder in
Nobody's Fool
Nell (1994)
New Jersey
New York
Beyond Bedlam
Nemesis 2:
Nina Takes
Natural Born
Only You
Once Were
Poison Ivy
Outbreak (1995)
"Professional, The"
"Perez Family,"
Pyromaniac's Love
Pulp Fiction
Panther (1995)
Pushing Hands
Priest (1994)
Quiz Show
Picture Bride
Queen Margot
Quick and
Roommates (1995)
Ready to
Three Colors:
Three Colors:
Three Colors:
"Red Firecracker,"
Rent-a-Kid (1995)
Relative Fear
Stuart Saves
"Swan Princess,"
Secret of
"Specialist, The"
Stargate (1994)
"Santa Clause,"
"Shawshank Redemption,"
Shallow Grave
Suture (1993)
Strawberry and
Swimming with
Sum of
National Lampoon's
To Live
Tank Girl
Tales From
Star Trek:
Tales from
Tom &
Village of
Tommy Boy
Vanya on
"Underneath, The"
"Walking Dead,"
What's Eating
Virtuosity (1995)
While You
"War, The"
Double Happiness
Muriel's Wedding
"Baby-Sitters Club,"
Ace Ventura:
Adventures of
Backbeat (1993)
Bitter Moon
Bullets Over
Clear and
"Client, The"
"Corrina, Corrina"
Crooklyn (1994)
"Crow, The"
Cobb (1994)
"Flintstones, The"
Forrest Gump
Four Weddings
Higher Learning
I Like
I Love
It Could
"Jungle Book,"
"Wonderful, Horrible"
"Lion King,"
Little Buddha
Wes Craven's
"Mask, The"
Maverick (1994)
Mrs. Parker
Naked Gun
"Paper, The"
Reality Bites
Red Rock
Richie Rich
Safe Passage
"River Wild,"
Speed (1994)
Speechless (1994)
Timecop (1994)
True Lies
When a
Wolf (1994)
Wyatt Earp
Bad Company
Man of
S.F.W. (1994)
Low Down
Boys Life
"Colonel Chabert,"
Faster Pussycat!
Jason's Lyric
Secret Adventures
Street Fighter
Coldblooded (1995)
Desert Winds
Fall Time
"Fear, The"
Frank and
Girl in
Homage (1995)
Mirage (1995)
Open Season
Two Crimes
Brother Minister:
Highlander III:
Federal Hill
In the
8 Seconds
Above the
Addams Family
You So
Age of
Airheads (1994)
Air Up
Another Stakeout
Bad Girls
Barcelona (1994)
Being Human
"Beverly Hillbillies,"
Beverly Hills
Black Beauty
Blink (1994)
Blown Away
Blue Chips
Blue Sky
Body Snatchers
Boxing Helena
"Bronx Tale,"
Cabin Boy
Calendar Girl
Carlito's Way
City Slickers
Clean Slate
Cliffhanger (1993)
Coneheads (1993)
Color of
Cops and
"Cowboy Way,"
Dangerous Game
Dave (1993)
Dazed and
Demolition Man
Endless Summer
Even Cowgirls
Fatal Instinct
Farewell My
"Favor, The"
Fearless (1993)
Fear of
With Honors
Flesh and
Widows' Peak
For Love
"Firm, The"
Free Willy
Fresh (1994)
"Fugitive, The"
Geronimo: An
"Getaway, The"
Getting Even
Go Fish
Good Man
Guilty as
Hard Target
Heaven &
Hot Shots!
Live Nude
Englishman Who
House of
House Party
"Hudsucker Proxy,"
I'll Do
In the
In the
In the
"Inkwell, The"
What's Love
Jimmy Hollywood
Judgment Night
Jurassic Park
Kalifornia (1993)
Killing Zoe
King of
Lassie (1994)
Last Action
Life with
Lightning Jack
M. Butterfly
Made in
Malice (1993)
Man Without
Manhattan Murder
Menace II
Executive Decision
In the
What Happened
Much Ado
Mr. Jones
Mr. Wonderful
Mrs. Doubtfire
Naked (1993)
Next Karate
"New Age,"
No Escape
North (1994)
Orlando (1993)
"Perfect World,"
Philadelphia (1993)
"Piano, The"
Poetic Justice
"Program, The"
Robert A.
Radioland Murders
"Ref, The"
Remains of
Renaissance Man
Rising Sun
Road to
Robocop 3
Robin Hood:
Romeo Is
Romper Stomper
Ruby in
Rudy (1993)
Saint of
Savage Nights
Schindler's List
"Scout, The"
Searching for
Second Best
"Secret Garden,"
Serial Mom
"Shadow, The"
Shadowlands (1993)
Short Cuts
Simple Twist
Sirens (1994)
Six Degrees
Sleepless in
Sliver (1993)
Blade Runner
Son in
So I
Striking Distance
Harlem (1993)
Super Mario
Surviving the
Terminal Velocity
Thirty-Two Short
Threesome (1994)
Nightmare Before
"Three Musketeers,"
Tombstone (1993)
Trial by
True Romance
"War Room,"
Mamma Roma
"Pagemaster, The"
"Paris, France"
Beans of
Killer (Bulletproof
Welcome to
Germinal (1993)
Chasers (1994)
Cronos (1992)
Naked in
Kika (1993)
Bhaji on
Little Big
"Slingshot, The"
"Wedding Gift,"
Foreign Student
"Ciao, Professore!"
Spanking the
"Little Rascals,"
Fausto (1993)
Andre (1994)
Hour of
"Scorta, La"
Princess Caraboo
"Celluloid Closet,"
Metisse (Caf�
Dear Diary
I Don't
Brady Bunch
Home Alone
Ghost (1990)
Aladdin (1992)
Terminator 2:
Dances with
Tough and
Batman (1989)
Silence of
Snow White
Beauty and
Pinocchio (1940)
Pretty Woman
Window to
"Wild Bunch,"
Love and
Wooden Man's
Great Day
"Bye Bye,"
Criminals (1996)
One Fine
Candyman: Farewell
Century (1993)
Fargo (1996)
Homeward Bound
Heavy Metal
Hellraiser: Bloodline
"Pallbearer, The"
Jane Eyre
Loaded (1994)
Bread and
"Aristocats, The"
Flower of
Two Much
Ed (1996)
Scream of
My Favorite
"Modern Affair,"
Condition Red
Asfour Stah
Thin Line
"Last Supper,"
Primal Fear
Rude (1995)
Carried Away
All Dogs
Land and
Denise Calls
Theodore Rex
"Family Thing,"
Frisk (1995)
Sgt. Bilko
Jack and
Girl 6
Diabolique (1996)
"Little Indian,"
Roula (1995)
Peanuts -
Happy Weekend
Nelly &
Courage Under
Mission: Impossible
Cold Fever
Moll Flanders
"Superweib, Das"
"301, 302"
Dragonheart (1996)
Und keiner
Mutters Courage
Eddie (1996)
Yankee Zulu
Billy's Holiday
Purple Noon
August (1996)
James and
Fear (1996)
Kids in
Faithful (1996)
Underground (1995)
All Things
Bloodsport 2
Pather Panchali
Aparajito (1956)
World of
Mystery Science
Tarantella (1995)
Space Jam
Barbarella (1968)
Hostile Intentions
They Bite
Some Folks
Run of
Alphaville (1965)
Clean Slate
Tigrero: A
Eye of
Windows (1980)
It's My
Country Life
Operation Dumbo
"Promise, The"
Mrs. Winterbourne
Solo (1996)
Under the
"Substitute, The"
True Crime
Butterfly Kiss
Feeling Minnesota
Delta of
To Cross
Angus (1995)
Daens (1992)
Faces (1968)
Boys (1996)
"Quest, The"
Cosi (1996)
Sunset Park
Mulholland Falls
Truth About
Oliver &
Celtic Pride
Flipper (1996)
Captives (1994)
Of Love
Dead Man
Horseman on
Switchblade Sisters
Mouth to
"Visitors, The"
Multiplicity (1996)
Wallace &
Halfmoon (Paul
Haunted World
Two Friends
"Craft, The"
Great White
Last Dance
War Stories
Cold Comfort
"Institute Benjamenta,"
"Low Life,"
Heaven's Prisoners
Original Gangstas
"Rock, The"
Getting Away
Cemetery Man
Twister (1996)
Barb Wire
"Garcu, Le"
Honigmond (1996)
Ghost in
Thinner (1996)
Spy Hard
Brothers in
"Close Shave,"
Force of
"Stupids, The"
"Arrival, The"
Man from
Dr. Strangelove
Careful (1992)
Vermont Is
Month by
Gold Diggers:
Kim (1950)
Carmen Miranda:
Ashes of
"Jar, The"
Maya Lin:
Stalingrad (1993)
"Phantom, The"
Striptease (1996)
Last of
Heavy (1995)
Jack (1996)
I Shot
"Grass Harp,"
Someone Else's
Marlene Dietrich:
Costa Brava
Vie est
Quartier Mozart
Touki Bouki
Wend Kuuni
Spirits of
Babyfever (1994)
Pharaoh's Army
Trainspotting (1996)
'Til There
Independence Day
Stealing Beauty
"Fan, The"
Hunchback of
"Cable Guy,"
Kingpin (1996)
Eraser (1996)
Gate of
"Nutty Professor,"
"I, Worst"
An Unforgettable
Last Klezmer:
Hungarian Fairy
My Life
Midnight Dancers
Somebody to
Very Natural
Old Lady
Daylight (1996)
"Frighteners, The"
Lone Star
Harriet the
Phenomenon (1996)
Walking and
She's the
Time to
American Buffalo
Rendezvous in
Alaska (1996)
Fled (1996)
Kazaam (1996)
"Bewegte Mann,"
Magic Hunter
Larger Than
Boy Called
Power 98
Two Deaths
Very Brady
Stefano Quantestorie
Death in
"Crude Oasis,"
Hedd Wyn
"Collectionneuse, La"
Kaspar Hauser
Echte Kerle
Diebinnen (1995)
"Convent, The"
Adventures of
Joe's Apartment
First Wives
Stonewall (1995)
Ransom (1996)
High School
Phat Beach
Foxfire (1996)
Chain Reaction
Matilda (1996)
Emma (1996)
Crow: City
House Arrest
Eyes Without
Tales from
Lotto Land
Story of
Day the
Flirt (1995)
"Big Squeeze,"
"Spitfire Grill,"
Escape from
Cyclo (1995)
Basquiat (1996)
Tin Cup
Dingo (1992)
Ballad of
Every Other
Mille bolle
Crows and
"Godfather, The"
"Hippie Revolution,"
"Maybe, Maybe"
Supercop (1992)
Manny &
Celestial Clockwork
"Wife, The"
Small Faces
Bound (1996)
Carpool (1996)
Death in
Kansas City
Gone Fishin'
Lover's Knot
Aiqing wansui
Shadow of
Killer: A
Nothing to
Police Story
Girls Town
Bye-Bye (1995)
"Relic, The"
Island of
First Kid
"Trigger Effect,"
Sweet Nothing
Bogus (1996)
Bulletproof (1996)
Talk of
Land Before
1-900 (1994)
Baton Rouge
Halloween: The
Twelfth Night
Mother Night
Liebelei (1933)
Venice/Venice (1992)
Wild Reeds
For Whom
"Philadelphia Story,"
Singin' in
American in
Funny Face
Breakfast at
Vertigo (1958)
Rear Window
It Happened
Gaslight (1944)
"Gay Divorcee,"
North by
"Apartment, The"
Some Like
Charade (1963)
Casablanca (1942)
"Maltese Falcon,"
My Fair
Sabrina (1954)
Roman Holiday
"Little Princess,"
Meet Me
Wizard of
Gone with
My Favorite
Sunset Blvd.
Citizen Kane
2001: A
Golden Earrings
All About
"Women, The"
Rebecca (1940)
Foreign Correspondent
Notorious (1946)
Spellbound (1945)
Affair to
To Catch
Father of
"Band Wagon,"
Ninotchka (1939)
Love in
Gigi (1958)
"Reluctant Debutante,"
Adventures of
Mark of
Laura (1944)
Ghost and
Lost Horizon
Top Hat
To Be
My Man
Giant (1956)
East of
"Thin Man,"
His Girl
Around the
It's a
Mr. Smith
Bringing Up
Penny Serenade
"Scarlet Letter,"
Lady of
Of Human
Angel on
Little Lord
They Made
"Inspector General,"
Angel and
"39 Steps,"
Walk in
"Outlaw, The"
Night of
"African Queen,"
Beat the
Cat on
Last Time
Meet John
Algiers (1938)
Something to
Farewell to
Moonlight Murder
"Blue Angel,"
Nothing Personal
In the
Dangerous Ground
Picnic (1955)
Madagascar Skin
Pompatus of
Small Wonders
Fly Away
Bliss (1997)
Grace of
Schlafes Bruder
Maximum Risk
Michael Collins
Rich Man's
Infinity (1996)
Big Night
Last Man
Caught (1996)
Set It
2 Days
Curdled (1996)
"Associate, The"
Ed's Next
Extreme Measures
"Glimmer Man,"
D3: The
"Chamber, The"
Apple Dumpling
"Davy Crockett,"
Escape to
"Love Bug,"
Herbie Rides
Old Yeller
"Parent Trap,"
Pollyanna (1960)
Homeward Bound:
"Shaggy Dog,"
Swiss Family
That Darn
"20,000 Leagues"
Cool Runnings
Angels in
Cinderella (1950)
Winnie the
"Three Caballeros,"
Sword in
So Dear
Robin Hood:
Mary Poppins
Dumbo (1941)
Pete's Dragon
Bedknobs and
Alice in
Fox and
Freeway (1996)
Sound of
Die Hard
"Lawnmower Man,"
Unhook the
Synthetic Pleasures
"Secret Agent,"
Secrets &
That Thing
To Gillian
Surviving Picasso
Love Is
Beautiful Thing
Long Kiss
Ghost and
Looking for
Trees Lounge
"Proprietor, The"
Normal Life
Get on
Shadow Conspiracy
Jude (1996)
Everyone Says
Bitter Sugar
William Shakespeare's
Swingers (1996)
Sleepers (1996)
"Sunchaser, The"
Johns (1996)
Aladdin and
Woman in
Shall We
Damsel in
Crossfire (1947)
"Murder, My"
Macao (1952)
For the
Willy Wonka
Sexual Life
"Innocents, The"
Sleeper (1973)
Bananas (1971)
Fish Called
Monty Python's
Victor/Victoria (1982)
"Candidate, The"
"Great Race,"
Bonnie and
Old Man
Dial M
Madame Butterfly
Dirty Dancing
Reservoir Dogs
Platoon (1986)
Weekend at
Basic Instinct
"Doors, The"
"Crying Game,"
Glengarry Glen
Sophie's Choice
E.T. the
Search for
"Christmas Carol,"
Days of
Top Gun
American Strays
Rebel Without
Streetcar Named
Children of
"Leopard Son,"
Loser (1991)
Prerokbe Ognja
Charm's Incidents
Bird of
Microcosmos (Microcosmos:
Palookaville (1996)
"Associate, The"
"Funeral, The"
Sleepover (1995)
"Single Girl,"
"Eighth Day,"
Tashunga (1995)
Drunks (1997)
People vs.
Glory Daze
Plutonium Circus
"Perfect Candidate,"
On Golden
Return of
Drop Dead
"Abyss, The"
"Fog, The"
Escape from
"Howling, The"
Jean de
Manon of
Talking About
Johnny 100
Private Benjamin
Monty Python
Hustler White
Dadetown (1995)
Everything Relative
Entertaining Angels:
Hoogste tijd
Get Over
Three Lives
Line King:
Snowriders (1996)
Curtis's Charm
When We
"Wrong Trousers,"
JLG/JLG -
Return of
Faust (1994)
He Walked
Raw Deal
T-Men (1947)
"Invitation, The"
Children Are
"Symphonie pastorale,"
Here Comes
Love in
Six of
"Tin Drum,"
"Ruling Class,"
Mina Tannenbaum
Two or
"Bloody Child,"
Farmer &
Dear God
Bad Moon
American Dream
Best of
Bob Roberts
Cinema Paradiso
Cook the
Grosse Fatigue
Delicatessen (1991)
Double Life
Enchanted April
Paths of
"Grifters, The"
Hear My
"Shooter, The"
"English Patient,"
Mediterraneo (1991)
My Left
"Sex, Lies,"
Passion Fish
Strictly Ballroom
Thin Blue
